location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE-M,Region Skåne,2026,17,2026-04-26,6,available,historical,2026-08-25T00:00:00Z,12,2026W17,
SE-O,Västra Götalandsregionen,2026,17,2026-04-26,7,available,historical,2026-08-25T00:00:00Z,14,2026W17,
SE,Sverige,2026,18,2026-05-03,74,available,historical,2026-08-25T00:00:00Z,00,2026W18,
SE-M,Region Skåne,2026,18,2026-05-03,2,available,historical,2026-08-25T00:00:00Z,12,2026W18,
SE-O,Västra Götalandsregionen,2026,18,2026-05-03,7,available,historical,2026-08-25T00:00:00Z,14,2026W18,
SE,Sverige,2026,19,2026-05-10,65,available,historical,2026-08-25T00:00:00Z,00,2026W19,
SE-M,Region Skåne,2026,19,2026-05-10,7,available,historical,2026-08-25T00:00:00Z,12,2026W19,
SE-O,Västra Götalandsregionen,2026,19,2026-05-10,7,available,historical,2026-08-25T00:00:00Z,14,2026W19,
SE,Sverige,2026,20,2026-05-17,53,available,historical,2026-08-25T00:00:00Z,00,2026W20,
SE-M,Region Skåne,2026,20,2026-05-17,0,available,historical,2026-08-25T00:00:00Z,12,2026W20,
SE-O,Västra Götalandsregionen,2026,20,2026-05-17,2,available,historical,2026-08-25T00:00:00Z,14,2026W20,
SE,Sverige,2026,21,2026-05-24,53,available,historical,2026-08-25T00:00:00Z,00,2026W21,
SE-M,Region Skåne,2026,21,2026-05-24,5,available,historical,2026-08-25T00:00:00Z,12,2026W21,
SE-O,Västra Götalandsregionen,2026,21,2026-05-24,6,available,historical,2026-08-25T00:00:00Z,14,2026W21,
SE,Sverige,2026,22,2026-05-31,30,available,historical,2026-08-25T00:00:00Z,00,2026W22,
SE-M,Region Skåne,2026,22,2026-05-31,1,available,historical,2026-08-25T00:00:00Z,12,2026W22,
SE-O,Västra Götalandsregionen,2026,22,2026-05-31,2,available,historical,2026-08-25T00:00:00Z,14,2026W22,
SE,Sverige,2026,23,2026-06-07,19,available,historical,2026-08-25T00:00:00Z,00,2026W23,
SE-M,Region Skåne,2026,23,2026-06-07,1,available,historical,2026-08-25T00:00:00Z,12,2026W23,
SE-O,Västra Götalandsregionen,2026,23,2026-06-07,2,available,historical,2026-08-25T00:00:00Z,14,2026W23,
