reference_date,horizon,location,output_type_id,term,coefficient,selected_alpha,training_sample_count
2026-01-04,0,SE,0.25,hubdemo-exptrend4,0,0.001,13
2026-01-04,0,SE,0.25,hubdemo-linear4,0,0.001,13
2026-01-04,0,SE,0.25,hubdemo-mean3,-6.05119206665,0.001,13
2026-01-04,0,SE,0.25,hubdemo-mean6,6.9970328018,0.001,13
2026-01-04,0,SE,0.25,hubdemo-persistence,0,0.001,13
2026-01-04,0,SE,0.5,intercept,29.4675119214,0.01,13
2026-01-04,0,SE,0.5,hubdemo-damped4,1.63676746246,0.01,13
2026-01-04,0,SE,0.5,hubdemo-exptrend4,0,0.01,13
2026-01-04,0,SE,0.5,hubdemo-linear4,0,0.01,13
2026-01-04,0,SE,0.5,hubdemo-mean3,-1.30748569027,0.01,13
2026-01-04,0,SE,0.5,hubdemo-mean6,0,0.01,13
2026-01-04,0,SE,0.5,hubdemo-persistence,0,0.01,13
2026-01-04,0,SE,0.75,intercept,-12.1939616215,0.001,13
2026-01-04,0,SE,0.75,hubdemo-damped4,0.491636482632,0.001,13
2026-01-04,0,SE,0.75,hubdemo-exptrend4,1.0182875309,0.001,13
2026-01-04,0,SE,0.75,hubdemo-linear4,0,0.001,13
2026-01-04,0,SE,0.75,hubdemo-mean3,-10.5034600025,0.001,13
2026-01-04,0,SE,0.75,hubdemo-mean6,11.5884962823,0.001,13
2026-01-04,0,SE,0.75,hubdemo-persistence,1.30124373747,0.001,13
2026-01-04,0,SE,0.9,intercept,409.361722275,0.1,13
2026-01-04,0,SE,0.9,hubdemo-damped4,0,0.1,13
2026-01-04,0,SE,0.9,hubdemo-exptrend4,0.467960527155,0.1,13
2026-01-04,0,SE,0.9,hubdemo-linear4,0,0.1,13
2026-01-04,0,SE,0.9,hubdemo-mean3,0,0.1,13
2026-01-04,0,SE,0.9,hubdemo-mean6,0,0.1,13
2026-01-04,0,SE,0.9,hubdemo-persistence,0,0.1,13
2026-01-04,0,SE,0.975,intercept,187.774829927,0.001,13
2026-01-04,0,SE,0.975,hubdemo-damped4,2.19404383858,0.001,13
2026-01-04,0,SE,0.975,hubdemo-exptrend4,0.391587930833,0.001,13
2026-01-04,0,SE,0.975,hubdemo-linear4,0,0.001,13
2026-01-04,0,SE,0.975,hubdemo-mean3,-3.3213200625,0.001,13
2026-01-04,0,SE,0.975,hubdemo-mean6,0,0.001,13
2026-01-04,0,SE,0.975,hubdemo-persistence,0,0.001,13
2026-01-11,0,SE,0.025,intercept,29,1,14
2026-01-11,0,SE,0.025,hubdemo-damped4,0,1,14
2026-01-11,0,SE,0.025,hubdemo-exptrend4,0,1,14
2026-01-11,0,SE,0.025,hubdemo-linear4,0,1,14
2026-01-11,0,SE,0.025,hubdemo-mean3,0,1,14
2026-01-11,0,SE,0.025,hubdemo-mean6,0,1,14
2026-01-11,0,SE,0.025,hubdemo-persistence,0,1,14
2026-01-11,0,SE,0.1,intercept,33,0.1,14
2026-01-11,0,SE,0.1,hubdemo-damped4,0,0.1,14
2026-01-11,0,SE,0.1,hubdemo-exptrend4,0,0.1,14
2026-01-11,0,SE,0.1,hubdemo-linear4,0,0.1,14
2026-01-11,0,SE,0.1,hubdemo-mean3,0,0.1,14
2026-01-11,0,SE,0.1,hubdemo-mean6,0,0.1,14
2026-01-11,0,SE,0.1,hubdemo-persistence,0,0.1,14
2026-01-11,0,SE,0.25,intercept,-44.3432487628,0.001,14
2026-01-11,0,SE,0.25,hubdemo-damped4,0,0.001,14
2026-01-11,0,SE,0.25,hubdemo-exptrend4,-0.125374661795,0.001,14
2026-01-11,0,SE,0.25,hubdemo-linear4,-3.56427475311,0.001,14
2026-01-11,0,SE,0.25,hubdemo-mean3,-1.36605252494,0.001,14
2026-01-11,0,SE,0.25,hubdemo-mean6,2.91022551822,0.001,14
2026-01-11,0,SE,0.25,hubdemo-persistence,5.63029771613,0.001,14
