reference_date,target_end_date,target,horizon,location,location_name,output_type,output_type_id,value,distribution,mean,standard_deviation,mean_window_weeks,training_sample_count,training_last_target_end_date,outcome_data_version
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.5,19.6666666667,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.75,313.766197958,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.9,578.464950322,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.975,874.274893158,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.5,19.6666666667,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.75,348.383303352,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.9,644.238530423,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-11-02,weekly incident influenza cases,3,SE,Sverige,quantile,0.975,974.866903341,normal_quantiles_clipped_at_zero,19.6666666667,487.356014809,3,508,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.5,1.33333333333,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.75,24.267035161,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.9,44.9080822045,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.975,67.9751608798,normal_quantiles_clipped_at_zero,1.33333333333,34.0015572082,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.5,1.33333333333,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.75,31.3010579784,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.9,58.2729449784,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.975,88.4149546418,normal_quantiles_clipped_at_zero,1.33333333333,44.4302150424,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1.33333333333,51.7764007807,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1.33333333333,51.7764007807,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1.33333333333,51.7764007807,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.5,1.33333333333,normal_quantiles_clipped_at_zero,1.33333333333,51.7764007807,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.75,36.2559849619,normal_quantiles_clipped_at_zero,1.33333333333,51.7764007807,3,509,2025-10-05,2026-08-25T00:00:00Z
