location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE-O,Västra Götalandsregionen,2016,28,2016-07-17,1,available,historical,2026-08-25T00:00:00Z,14,2016W28,
SE,Sverige,2016,29,2016-07-24,3,available,historical,2026-08-25T00:00:00Z,00,2016W29,
SE-M,Region Skåne,2016,29,2016-07-24,0,available,historical,2026-08-25T00:00:00Z,12,2016W29,
SE-O,Västra Götalandsregionen,2016,29,2016-07-24,0,available,historical,2026-08-25T00:00:00Z,14,2016W29,
SE,Sverige,2016,30,2016-07-31,1,available,historical,2026-08-25T00:00:00Z,00,2016W30,
SE-M,Region Skåne,2016,30,2016-07-31,0,available,historical,2026-08-25T00:00:00Z,12,2016W30,
SE-O,Västra Götalandsregionen,2016,30,2016-07-31,0,available,historical,2026-08-25T00:00:00Z,14,2016W30,
SE,Sverige,2016,31,2016-08-07,4,available,historical,2026-08-25T00:00:00Z,00,2016W31,
SE-M,Region Skåne,2016,31,2016-08-07,0,available,historical,2026-08-25T00:00:00Z,12,2016W31,
SE-O,Västra Götalandsregionen,2016,31,2016-08-07,0,available,historical,2026-08-25T00:00:00Z,14,2016W31,
SE,Sverige,2016,32,2016-08-14,0,available,historical,2026-08-25T00:00:00Z,00,2016W32,
SE-M,Region Skåne,2016,32,2016-08-14,0,available,historical,2026-08-25T00:00:00Z,12,2016W32,
SE-O,Västra Götalandsregionen,2016,32,2016-08-14,0,available,historical,2026-08-25T00:00:00Z,14,2016W32,
SE,Sverige,2016,33,2016-08-21,4,available,historical,2026-08-25T00:00:00Z,00,2016W33,
SE-M,Region Skåne,2016,33,2016-08-21,1,available,historical,2026-08-25T00:00:00Z,12,2016W33,
SE-O,Västra Götalandsregionen,2016,33,2016-08-21,0,available,historical,2026-08-25T00:00:00Z,14,2016W33,
SE,Sverige,2016,34,2016-08-28,3,available,historical,2026-08-25T00:00:00Z,00,2016W34,
SE-M,Region Skåne,2016,34,2016-08-28,1,available,historical,2026-08-25T00:00:00Z,12,2016W34,
SE-O,Västra Götalandsregionen,2016,34,2016-08-28,1,available,historical,2026-08-25T00:00:00Z,14,2016W34,
SE,Sverige,2016,35,2016-09-04,3,available,historical,2026-08-25T00:00:00Z,00,2016W35,
SE-M,Region Skåne,2016,35,2016-09-04,0,available,historical,2026-08-25T00:00:00Z,12,2016W35,
SE-O,Västra Götalandsregionen,2016,35,2016-09-04,0,available,historical,2026-08-25T00:00:00Z,14,2016W35,
SE,Sverige,2016,36,2016-09-11,7,available,historical,2026-08-25T00:00:00Z,00,2016W36,
SE-M,Region Skåne,2016,36,2016-09-11,1,available,historical,2026-08-25T00:00:00Z,12,2016W36,
SE-O,Västra Götalandsregionen,2016,36,2016-09-11,1,available,historical,2026-08-25T00:00:00Z,14,2016W36,
SE,Sverige,2016,37,2016-09-18,7,available,historical,2026-08-25T00:00:00Z,00,2016W37,
SE-M,Region Skåne,2016,37,2016-09-18,0,available,historical,2026-08-25T00:00:00Z,12,2016W37,
SE-O,Västra Götalandsregionen,2016,37,2016-09-18,1,available,historical,2026-08-25T00:00:00Z,14,2016W37,
SE,Sverige,2016,38,2016-09-25,2,available,historical,2026-08-25T00:00:00Z,00,2016W38,
SE-M,Region Skåne,2016,38,2016-09-25,0,available,historical,2026-08-25T00:00:00Z,12,2016W38,
SE-O,Västra Götalandsregionen,2016,38,2016-09-25,1,available,historical,2026-08-25T00:00:00Z,14,2016W38,
SE,Sverige,2016,39,2016-10-02,9,available,historical,2026-08-25T00:00:00Z,00,2016W39,
SE-M,Region Skåne,2016,39,2016-10-02,3,available,historical,2026-08-25T00:00:00Z,12,2016W39,
SE-O,Västra Götalandsregionen,2016,39,2016-10-02,1,available,historical,2026-08-25T00:00:00Z,14,2016W39,
SE,Sverige,2016,40,2016-10-09,15,available,historical,2026-08-25T00:00:00Z,00,2016W40,
SE-M,Region Skåne,2016,40,2016-10-09,3,available,historical,2026-08-25T00:00:00Z,12,2016W40,
SE-O,Västra Götalandsregionen,2016,40,2016-10-09,1,available,historical,2026-08-25T00:00:00Z,14,2016W40,
SE,Sverige,2016,41,2016-10-16,12,available,historical,2026-08-25T00:00:00Z,00,2016W41,
SE-M,Region Skåne,2016,41,2016-10-16,0,available,historical,2026-08-25T00:00:00Z,12,2016W41,
SE-O,Västra Götalandsregionen,2016,41,2016-10-16,0,available,historical,2026-08-25T00:00:00Z,14,2016W41,
SE,Sverige,2016,42,2016-10-23,3,available,historical,2026-08-25T00:00:00Z,00,2016W42,
SE-M,Region Skåne,2016,42,2016-10-23,0,available,historical,2026-08-25T00:00:00Z,12,2016W42,
SE-O,Västra Götalandsregionen,2016,42,2016-10-23,0,available,historical,2026-08-25T00:00:00Z,14,2016W42,
SE,Sverige,2016,43,2016-10-30,5,available,historical,2026-08-25T00:00:00Z,00,2016W43,
SE-M,Region Skåne,2016,43,2016-10-30,1,available,historical,2026-08-25T00:00:00Z,12,2016W43,
SE-O,Västra Götalandsregionen,2016,43,2016-10-30,1,available,historical,2026-08-25T00:00:00Z,14,2016W43,
SE,Sverige,2016,44,2016-11-06,6,available,historical,2026-08-25T00:00:00Z,00,2016W44,
SE-M,Region Skåne,2016,44,2016-11-06,1,available,historical,2026-08-25T00:00:00Z,12,2016W44,
SE-O,Västra Götalandsregionen,2016,44,2016-11-06,1,available,historical,2026-08-25T00:00:00Z,14,2016W44,
SE,Sverige,2016,45,2016-11-13,36,available,historical,2026-08-25T00:00:00Z,00,2016W45,
SE-M,Region Skåne,2016,45,2016-11-13,0,available,historical,2026-08-25T00:00:00Z,12,2016W45,
SE-O,Västra Götalandsregionen,2016,45,2016-11-13,6,available,historical,2026-08-25T00:00:00Z,14,2016W45,
SE,Sverige,2016,46,2016-11-20,46,available,historical,2026-08-25T00:00:00Z,00,2016W46,
SE-M,Region Skåne,2016,46,2016-11-20,3,available,historical,2026-08-25T00:00:00Z,12,2016W46,
SE-O,Västra Götalandsregionen,2016,46,2016-11-20,1,available,historical,2026-08-25T00:00:00Z,14,2016W46,
SE,Sverige,2016,47,2016-11-27,102,available,historical,2026-08-25T00:00:00Z,00,2016W47,
SE-M,Region Skåne,2016,47,2016-11-27,9,available,historical,2026-08-25T00:00:00Z,12,2016W47,
SE-O,Västra Götalandsregionen,2016,47,2016-11-27,7,available,historical,2026-08-25T00:00:00Z,14,2016W47,
SE,Sverige,2016,48,2016-12-04,152,available,historical,2026-08-25T00:00:00Z,00,2016W48,
SE-M,Region Skåne,2016,48,2016-12-04,7,available,historical,2026-08-25T00:00:00Z,12,2016W48,
SE-O,Västra Götalandsregionen,2016,48,2016-12-04,11,available,historical,2026-08-25T00:00:00Z,14,2016W48,
SE,Sverige,2016,49,2016-12-11,316,available,historical,2026-08-25T00:00:00Z,00,2016W49,
SE-M,Region Skåne,2016,49,2016-12-11,15,available,historical,2026-08-25T00:00:00Z,12,2016W49,
SE-O,Västra Götalandsregionen,2016,49,2016-12-11,39,available,historical,2026-08-25T00:00:00Z,14,2016W49,
SE,Sverige,2016,50,2016-12-18,475,available,historical,2026-08-25T00:00:00Z,00,2016W50,
SE-M,Region Skåne,2016,50,2016-12-18,23,available,historical,2026-08-25T00:00:00Z,12,2016W50,
SE-O,Västra Götalandsregionen,2016,50,2016-12-18,51,available,historical,2026-08-25T00:00:00Z,14,2016W50,
SE,Sverige,2016,51,2016-12-25,1003,available,historical,2026-08-25T00:00:00Z,00,2016W51,
SE-M,Region Skåne,2016,51,2016-12-25,82,available,historical,2026-08-25T00:00:00Z,12,2016W51,
SE-O,Västra Götalandsregionen,2016,51,2016-12-25,107,available,historical,2026-08-25T00:00:00Z,14,2016W51,
SE,Sverige,2016,52,2017-01-01,1302,available,historical,2026-08-25T00:00:00Z,00,2016W52,
